method;positive/false pos;exclusion;url;title;author;Profile;Location;Work;Year;date;hashtags
crawler;false positive;discussion about technical issues;https://dev.to/frantic/how-to-convince-your-boss-to-use-reactnative-4a2;How to convince your boss to use ReactNative;Alex Kotliarskyi;;;;;Mar 23 '19; reactnative react empathy
crawler;duplicated;duplicated;https://dev.to/varenya/under-appreciated-skills-of-a-software-developer-39jn;Under-Appreciated Skills of a Software Developer;Varenya Thyagaraj;;;;;Mar 14 '21; javascript softskills empathy
crawler;false positive;Practitioner profile not found;https://dev.to/one-beyond/become-a-chameleon-thanks-to-introversion-and-shyness-268p;Become a chameleon thanks to introversion and shyness;Alberto Turgano for One Beyond;;;;;Dec 21 '21; psychology empathy interview selfconfidence
crawler;false positive;mentions the word empathy, but does not discuss skills;https://dev.to/lkopacz/4-things-that-i-always-manually-test-2je8;4 things that I always manually test;Lindsey Kopacz;;;;;Jan 22 '19; a11y testing webdev
crawler;false positive;mentions the word empathy, but does not discuss skills;https://dev.to/wuz/become-an-accessibility-rock-star-4h0c;Become an accessibility rock-star! ;Conlin Durbin;;;;;Apr 9 '19; a11y beginners
crawler;false positive;mentions the word empathy, but does not discuss skills;https://dev.to/aprilwensel/nevertheless-april-wensel-coded;Nevertheless, April Wensel Coded;April Wensel;;;;;Mar 8 '17; shecoded womenintech empathy
crawler;false positive;mentions the word empathy, but does not discuss skills;https://dev.to/gaiety/performance-reviews---you-and-your-peers;Performance Reviews - You and Your Peers;Joe L. Wroten;;;;;Jun 1 '17; workplace empathy
crawler;false positive;mentions the word empathy, but does not discuss skills;https://dev.to/pavsaund/hitting-refresh-3lig;Hitting refresh;Pavneet Singh Saund;;;;;May 18 '18; learning empathy startup communication
crawler;false positive;mentions the word empathy, but does not discuss skills;https://dev.to/ruthmoog/weeknotes-03-makers-2l4l;Weeknotes - 03 Makers;ruthmoog;;;;;Jun 18 '19; bootcamp beginners debugging empathy
crawler;false positive;mentions the word empathy, but does not discuss skills;https://dev.to/botanical/talk-less-listen-more-i89;Talk Less, Listen More;Jennifer Tran;;;;;Mar 14 '21; culture listening empathy engineer
crawler;false positive;mentions the word empathy, but does not discuss skills;https://dev.to/colmdoyle/the-best-incident-commanders-might-not-be-where-you-think-fac;The best Incident Commanders might not be where you think;Colm Doyle;;;;;Jun 1 '21; devops incidentmanagement
crawler;false positive;mentions the word empathy, but does not discuss skills;https://dev.to/koenighotze/loaded-terms-and-why-you-should-avoid-them-40f6;Loaded terms and why you should avoid them;David Schmitz;;;;;Aug 21 '21; writing leadership empathy
crawler;duplicated;duplicated;https://dev.to/elenadotnet/empatia-y-codigo-ajeno-4b3l;Empata y cdigo ajeno;Elena.NET;;;;;Sep 20 '21; coding empathy rookies
crawler;false positive;mentions the word empathy, but does not discuss skills;https://dev.to/adammckenna/writing-baseline-accessible-markup-and-styles;Writing Baseline Accessible Markup and Styles;Adam McKenna;;;;;Sep 4 '17; web html css a11y
crawler;false positive;mentions the word empathy, but does not discuss skills;https://dev.to/atlassian/500-atlassians-worked-remotely-for-a-week--heres-what-we-learned-3fpf;500 Atlassians worked remotely for a week  heres what we learned;Sarah Goff-Dupont for Atlassian;;;;;Dec 18 '18; remotework productivity wfh
crawler;false positive;mentions the word empathy, but does not discuss skills;https://dev.to/ryanjyost/projects-starred-by-dan-abramov-in-the-past-year-5c79;Projects starred by Dan Abramov in the past year;Ryan Yost;;;;;Mar 17 '20; opensource github webdev javascript
crawler;false positive;mentions the word empathy, but does not discuss skills;https://dev.to/padmini/managers-look-at-your-engineers-prs-dm0;Managers: Look at Your Engineers PRs;Padmini Pyapali;;;;;May 24 '20; discuss management codequality testing
crawler;false positive;mentions the word empathy, but does not discuss skills;https://dev.to/keepkreating/keeping-someone-in-mind-whilst-creating-a-discussion-guide-315f;Keeping someone in mind whilst Creating a Discussion Guide;Shafeeza;;;;;May 28 '20; persona ux research empathy
crawler;false positive;mentions the word empathy, but does not discuss skills;https://dev.to/mlimonczenko/learning-code-for-free-the-ultimate-guide-for-2020-639;72 Free Ways to Learn to Code (Ultimate Guide);Miranda;;;;;Aug 15 '20; beginners codenewbie firstyearincode books
hashtag;false positive;mentions the word empathy, but does not discuss skills;https://dev.to/codepo8/a-worrying-change-in-open-source-perception-30m7;A worrying change in Open Source perception;Christian Heilmann;;;;;2019-07-12T09:50:06Z;
hashtag;positive;;https://dev.to/_adam_barker/one-way-to-level-up-your-development-career-4kcn;One Way to Level Up Your Development Career;Adam Barker;https://www.linkedin.com/in/abrkr;USA;Software Developer;2019;2019-05-26T16:05:23Z;
hashtag;positive;;https://dev.to/benjamminj/coding-with-empathy-2f5a;Coding with empathy;Benjamin Johnson;https://github.com/benjamminj;USA;Software Engineer;2019;2019-02-16T19:15:55Z;
